title,addr1,stored_lat,stored_lon,kakao_lat,kakao_lon,dist_km,kakao_addr,issue
남산순환나들길,서울특별시 중구 남산공원길 609 (예장동),37.5549112997,126.9866844934,37.55116104550315,126.99088780303528,0.558,서울 중구 예장동,좌표 불일치 (0.56km)
그루브하우스,서울특별시 동대문구 서울시립대로25길 10 (전농동),37.5827620188,127.0522138438,,,,,장소 미발견 (폐업/미등록 가능성)
북서울꿈의숲,서울특별시 강북구 월계로 173 (번동),37.619724251,127.0445440464,37.62360650548208,127.04157251496886,0.505,서울 강북구 번동 90,좌표 불일치 (0.50km)
리틀포레한강,서울특별시 성동구 왕십리로8길 19-5 (성수동1가),37.5463689287,127.0468348118,,,,,장소 미발견 (폐업/미등록 가능성)
레스케이프 호텔(L’Escape Hotel),서울특별시 중구 퇴계로 67,37.5597189467,126.9795572285,,,,,장소 미발견 (폐업/미등록 가능성)
서울로 7017,서울특별시 중구 한강대로 405,37.5545193912,126.9706609645,37.557109027019116,126.97541367376364,0.508,서울 중구 남대문로5가 84-15,좌표 불일치 (0.51km)
서해금빛열차,서울특별시 용산구 한강대로23길 55 (한강로3가),37.5298249324,126.9647566449,,,,,장소 미발견 (폐업/미등록 가능성)
소담스테이,서울특별시 마포구 마포대로14길 12-17,37.5480393261,126.9559902624,37.612680461046,127.028666114611,9.627,서울 강북구 미아동 465-47,좌표 오류 - 실제위치 9.6km 이격
온수도시자연공원(잣절공원),서울특별시 구로구 고척로21나길 103 (개봉동),37.5020481486,126.8397382631,,,,,장소 미발견 (폐업/미등록 가능성)
준하우스3,서울특별시 마포구 월드컵북로6길 84 (동교동),37.5600345566,126.9226346304,,,,,장소 미발견 (폐업/미등록 가능성)
카페우리,서울특별시 은평구 녹번로1길 13 (녹번동),37.6047933126,126.9266024479,37.5585154702407,126.829361596064,9.995,서울 강서구 마곡동 799-11,좌표 오류 - 실제위치 10.0km 이격
효자스테이,서울특별시 종로구 효자로7길 7-5,37.5787999537,126.9734877974,,,,,장소 미발견 (폐업/미등록 가능성)
계양산 둘레길,인천광역시 계양구 계양산로 101 (계산동),37.548071351,126.7270444752,37.5468986724227,126.720129641747,0.623,인천 계양구 계산동 897,좌표 불일치 (0.62km)
