addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3,area_name,relaAcdntRiskMtr,acmpyTypeCd,relaPosesFclty,relaFrnshPrdlst,etcAcmpyInfo,relaPurcPrdlst,acmpyPsblCpam,relaRntlPrdlst,acmpyNeedMtr,indoor_possible,outdoor_possible,homepage,opertime,data_source,province,gu_name,content_type_name
서울특별시 동대문구 서울시립대로25길 10 (전농동),B101호,1,B02,B0201,B02011100,3438659,32,20241206132405,,,,127.0522138438,37.5827620188,6,20241218152408,11,,그루브하우스,02557,11,230,AC,AC06,AC060200,서울,,전구역 동반가능,,,,,시각 장애인 안내견,,목줄 착용,,,,,TourAPI,서울,동대문구,숙박
서울특별시 중구 퇴계로34길 28 (필동2가),,1,A02,A0201,A02010600,126747,12,20040216090000,http://tong.visitkorea.or.kr/cms/resource/94/2932494_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/94/2932494_image3_1.bmp,Type3,126.9932865315,37.5597775194,6,20250708170501,24,,남산골한옥마을,04626,11,140,HS,HS01,HS010600,서울,,일부구역 동반가능,,,"- 가옥 안쪽은 동반 불가
- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용,,,,,TourAPI,서울,중구,관광지
서울특별시 중구 남산공원길 609 (예장동),,1,A01,A0101,A01010500,2783557,12,20211130201410,http://tong.visitkorea.or.kr/cms/resource/60/3458860_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/3458860_image3_1.jpg,Type1,126.9866844934,37.5549112997,6,20250721093644,24,,남산순환나들길,04628,11,140,NA,NA05,NA050100,서울,,일부구역 동반가능,,,"- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용,,,,,TourAPI,서울,중구,관광지
서울특별시 용산구 양녕로 445 (이촌동),,1,A02,A0203,A02030400,2638475,12,20191125183515,,,,126.9580520415,37.5177178854,6,20250307094735,21,,노들섬,04427,11,170,VE,VE12,VE120300,서울,,전구역 동반가능,,,"- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용,,,,,TourAPI,서울,용산구,관광지
서울특별시 영등포구 대림동,1050-43,1,A02,A0203,A02030600,2402981,12,20160820023653,http://tong.visitkorea.or.kr/cms/resource/92/3526892_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/3526892_image3_1.jpg,Type1,126.8975138236,37.4924530714,6,20250827165120,20,,대림동 차이나타운,07416,11,560,VE,VE04,VE040100,서울,,일부구역 동반가능,,,"- 매장별 정책이 상이하므로 개별 문의 필요
- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용,,,,,TourAPI,서울,영등포구,관광지
서울특별시 서초구 남부순환로328길 49 (서초동),,1,A02,A0201,A02010800,300076,12,20071128223420,http://tong.visitkorea.or.kr/cms/resource/09/3540509_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/3540509_image3_1.jpg,Type1,127.0134731649,37.4763181306,6,20250918100119,15,,대성사(서울),06757,11,650,HS,HS03,HS030100,서울,,일부구역 동반가능,,,"- 법당 등 실내 시설은 동반 불가
- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,목줄 착용,,,,,TourAPI,서울,서초구,관광지
서울특별시 중구 을지로 281 (을지로7가),,1,A02,A0204,A02040800,2470006,12,20161228221826,http://tong.visitkorea.or.kr/cms/resource/06/3539606_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/3539606_image3_1.jpg,Type1,127.0095709797,37.5661076320,6,20250917144442,24,,동대문디자인플라자(DDP),04566,11,140,EX,EX06,EX061000,서울,,일부구역 동반가능,,,"- 안내견 제외 이동장 또는 이동가방으로만 실내 동반 가능 (*전시·행사 종류에 따라 변동 가능성 有) 
- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수
- 목줄 1m 이내 길이로 필수",,전 견종 동반 가능,,"목줄 착용,이동장(켄넬)사용",,,,,TourAPI,서울,중구,관광지
서울특별시 중구 을지로 281 (을지로7가),,1,A02,A0202,A02020700,1906334,12,20140319021307,http://tong.visitkorea.or.kr/cms/resource/37/3566337_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/37/3566337_image3_1.jpg,Type1,127.0095709797,37.5661076320,6,20251113135916,24,,동대문역사문화공원,04566,11,140,VE,VE03,VE030500,서울,,일부구역 동반가능,,종합안내소에서 배변봉투 무료지급(1견 1매 제한),"- 맹견의 경우, 입마개 착용 필수
- 안내견 제외 이동장 또는 이동가방으로만 실내 동반 가능 (*전시·행사 종류에 따라 변동 가능성 有) 
- 야외에선 목줄 길이 1m 필수 
- 배변봉투 지참 및 배변처리 필수",,전 견종 동반 가능,,"목줄 착용,이동장(켄넬)사용",,,,,TourAPI,서울,중구,관광지
서울특별시 중구 퇴계로 67,,1,B02,B0201,B02010100,2586384,32,20190109184205,http://tong.visitkorea.or.kr/cms/resource/20/2821120_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/2821120_image3_1.jpg,Type3,126.9795572285,37.5597189467,6,20250514093340,24,,레스케이프 호텔(L’Escape Hotel),04529,11,140,AC,AC01,AC010100,서울,반려견보호자 서약서 서명,일부구역 동반가능,호텔 객실,,"- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수",,9kg 이하 동반 가능,,목줄 착용,,,,,TourAPI,서울,중구,숙박
서울특별시 강서구 하늘길 지하77 (방화동),,1,A04,A0401,A04010600,1535690,38,20120112224759,,,,126.8015844987,37.5621960337,6,20250328132734,4,,롯데몰 김포공항점,07505,11,500,SH,SH02,SH020100,서울,,일부구역 동반가능,,배변패드,"- 필수예방접종 미완료 시 동반 불가
- 식당가 일부 브랜드만 동반 가능
- 장애인 안내견은 모든 시설 동반 가능",롯데마트 내 펫샵에서 구매 가능,맹견 제외 14kg 이하 동반 가능,"반려동물 유모차, 케이지 대여","반려동물 유모차 탑승,이동장(켄넬)사용",,,,,TourAPI,서울,강서구,쇼핑
